City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
cabedelo,-6.98,-34.83,82.4,78,20,6.93,BR,1584485214
hobart,-42.88,147.33,71.01,49,100,10.29,AU,1584485214
wuchi,29.38,103.02,37.33,72,52,2.26,CN,1584485215
sept-iles,50.2,-66.38,27.0,92,90,16.11,CA,1584485120
qaanaaq,77.48,-69.36,-19.86,59,98,6.06,GL,1584485215
vaini,-21.2,-175.2,77.0,94,75,10.29,TO,1584485216
chokurdakh,70.63,147.92,-7.1,92,100,14.79,RU,1584485216
dingle,11.0,122.67,77.63,79,22,12.24,PH,1584485217
cidreira,-30.18,-50.21,73.58,79,96,22.35,BR,1584485217
lebu,-37.62,-73.65,57.31,83,0,8.19,CL,1584485217
marrakesh,31.63,-8.01,55.4,62,40,9.17,MA,1584485070
hithadhoo,-0.6,73.08,84.47,76,65,12.73,MV,1584485219
pithoragarh,29.58,80.22,46.87,86,0,2.59,IN,1584485219
kerema,-7.96,145.78,85.78,60,82,3.78,PG,1584485220
mataura,-46.19,168.86,53.01,78,1,1.99,NZ,1584485220
missoula,47.02,-113.8,53.6,27,1,11.41,US,1584485220
alta floresta,-9.88,-56.09,74.52,93,100,1.39,BR,1584485220
ushuaia,-54.8,-68.3,57.2,44,40,17.22,AR,1584484939
dalnerechensk,45.93,133.72,26.26,92,55,9.57,RU,1584485222
bangassou,4.74,22.82,75.7,73,82,4.79,CF,1584485222
norman wells,65.28,-126.83,23.0,85,90,3.36,CA,1584485223
saint-philippe,-21.36,55.77,75.2,88,75,6.93,RE,1584485223
tura,25.52,90.22,64.8,44,0,2.66,IN,1584485223
bredasdorp,-34.53,20.04,66.2,77,27,6.93,ZA,1584485224
clyde river,70.47,-68.59,-14.8,68,75,16.11,CA,1584485224
ballina,-28.87,153.57,69.8,77,75,11.41,AU,1584485224
cabo san lucas,22.89,-109.91,78.8,50,75,5.82,MX,1584485108
te anau,-45.42,167.72,55.09,56,3,3.67,NZ,1584485225
asau,46.43,26.4,45.0,83,80,3.36,RO,1584485225
north berwick,56.06,-2.72,43.0,93,20,6.93,GB,1584485225
ventspils,57.39,21.56,41.0,100,75,13.87,LV,1584485226
noumea,-22.28,166.46,82.0,61,35,2.24,NC,1584485226
hilo,19.73,-155.09,78.8,74,75,16.11,US,1584485226
atuona,-9.8,-139.03,82.94,73,1,10.04,PF,1584485226
khatanga,71.97,102.5,-14.66,87,89,8.01,RU,1584485093
nicoya,10.15,-85.45,91.4,43,22,23.04,CR,1584485102
grand forks,47.93,-97.03,32.0,73,1,10.29,US,1584485227
galesong,-5.32,119.37,75.2,94,79,2.24,ID,1584485227
gazalkent,41.56,69.77,53.6,71,97,2.24,UZ,1584485228
jamestown,42.1,-79.24,41.0,69,90,12.75,US,1584485228
mahon,39.89,4.27,57.2,87,100,11.41,ES,1584485229
nome,64.5,-165.41,30.2,86,90,13.87,US,1584485229
tuktoyaktuk,69.45,-133.04,1.4,84,75,3.36,CA,1584485229
ancud,-41.87,-73.82,59.0,67,13,8.05,CL,1584485344
siva,29.2,25.52,54.52,49,0,10.25,EG,1584485345
tucurui,-3.77,-49.67,75.92,92,91,2.93,BR,1584485345
rikitea,-23.12,-134.97,80.71,78,4,11.9,PF,1584485345
arraial do cabo,-22.97,-42.03,78.6,86,82,5.64,BR,1584485221
yeppoon,-23.13,150.73,73.4,64,17,12.75,AU,1584485346
ahvaz,31.32,48.67,66.2,63,67,4.7,IR,1584485346
le port,-20.94,55.29,75.2,83,37,5.82,RE,1584485347
bluff,-46.6,168.33,53.01,78,24,1.99,NZ,1584485347
umm kaddadah,13.6,26.69,71.13,17,31,14.94,SD,1584485287
port elizabeth,-33.92,25.57,68.0,82,0,2.24,ZA,1584485348
carnarvon,-24.87,113.63,69.8,73,100,12.75,AU,1584485348
shimoda,34.67,138.95,55.0,53,40,10.29,JP,1584485349
port alfred,-33.59,26.89,66.0,95,24,7.99,ZA,1584485151
punta arenas,-53.15,-70.92,55.4,50,75,26.4,CL,1584485350
busselton,-33.65,115.33,52.0,94,35,17.47,AU,1584485288
teknaf,20.86,92.31,62.74,72,0,2.75,BD,1584485350
dashitou,43.31,128.51,32.63,68,39,9.13,CN,1584485350
cherskiy,68.75,161.3,2.95,93,100,13.78,RU,1584485308
fortuna,40.6,-124.16,48.99,87,90,12.75,US,1584485351
tias,28.96,-13.64,62.6,67,20,17.22,ES,1584485352
ponta do sol,32.67,-17.1,59.0,72,40,19.46,PT,1584485288
dukat,62.55,155.55,3.65,88,99,1.52,RU,1584485352
bethel,41.37,-73.41,53.01,70,40,9.04,US,1584485352
port lincoln,-34.73,135.87,81.81,27,83,7.92,AU,1584485353
benguela,-12.58,13.41,76.78,83,100,2.55,AO,1584485353
san fernando,15.03,120.69,78.8,83,75,2.24,PH,1584485353
bambous virieux,-20.34,57.76,75.2,94,40,2.24,MU,1584485138
lewisporte,49.25,-55.05,28.0,68,90,20.8,CA,1584485354
gornopravdinsk,60.05,69.9,23.29,82,100,13.91,RU,1584485354
hirara,24.8,125.28,69.8,72,75,9.17,JP,1584485355
tungor,53.38,142.96,21.65,91,50,7.83,RU,1584485355
olafsvik,64.89,-23.71,27.7,80,100,37.92,IS,1584485326
jalu,29.03,21.55,58.15,34,0,11.43,LY,1584485356
talnakh,69.49,88.4,10.4,85,75,26.84,RU,1584485227
barrow,71.29,-156.79,10.4,85,20,13.87,US,1584485356
new norfolk,-42.78,147.06,71.01,49,99,10.29,AU,1584485356
kapaa,22.08,-159.32,69.8,94,90,16.11,US,1584485322
saldanha,-33.01,17.94,60.8,87,0,5.82,ZA,1584485287
niamey,13.51,2.11,87.8,8,0,2.24,NE,1584485357
lasa,46.62,10.7,48.2,86,15,3.36,IT,1584485357
nuoro,40.32,9.33,57.2,87,40,9.17,IT,1584485358
mahebourg,-20.41,57.7,75.2,94,40,2.24,MU,1584485330
rorvik,64.86,11.24,40.93,68,100,27.04,NO,1584485358
torbay,47.67,-52.73,28.0,73,75,19.46,CA,1584485359
lata,40.16,-8.33,62.01,87,0,3.36,PT,1584485354
lamar,33.67,-95.58,62.01,87,90,12.75,US,1584485360
whitianga,-36.83,175.7,70.0,48,0,3.0,NZ,1584485360
srednekolymsk,67.45,153.68,-6.99,91,82,9.64,RU,1584485360
iqaluit,63.75,-68.51,15.8,72,90,17.22,CA,1584485360
hasaki,35.73,140.83,44.6,75,75,4.7,JP,1584485113
mbini,1.57,9.61,82.22,84,100,9.55,GQ,1584485361
albany,42.6,-73.97,46.99,75,90,12.75,US,1584485361
moose jaw,50.4,-105.53,35.6,59,40,10.29,CA,1584485361
whyalla,-33.03,137.58,71.6,35,22,3.36,AU,1584485363
puerto ayora,-0.74,-90.35,84.2,66,20,11.41,EC,1584485363
salalah,17.02,54.09,77.0,73,75,5.82,OM,1584485363
mapiripan,2.89,-72.13,81.91,56,34,4.54,CO,1584485364
ribeira grande,38.52,-28.7,58.6,88,12,10.07,PT,1584485364
viedma,-40.81,-63.0,62.33,81,6,13.85,AR,1584485364
georgetown,5.41,100.34,80.6,83,20,3.36,MY,1584485223
kavieng,-2.57,150.8,82.78,77,100,13.31,PG,1584485365
nabire,-3.37,135.48,76.78,90,100,0.43,ID,1584485366
nanakuli,21.39,-158.15,73.4,94,90,6.93,US,1584485366
cockburn town,21.46,-71.14,77.0,61,40,11.41,TC,1584485366
yellowknife,62.46,-114.35,-4.0,64,75,6.93,CA,1584485159
fare,-16.7,-151.02,83.82,68,95,7.36,PF,1584485367
dikson,73.51,80.55,-8.59,100,92,6.44,RU,1584485367
sorland,67.67,12.69,37.4,70,40,8.05,NO,1584485189
lorengau,-2.02,147.27,83.25,76,100,7.56,PG,1584485312
namibe,-15.2,12.15,73.47,80,100,4.16,AO,1584485368
east london,-33.02,27.91,69.53,82,66,11.25,ZA,1584485098
waipawa,-41.41,175.52,62.01,50,62,3.36,NZ,1584485369
pevek,69.7,170.31,25.02,95,100,11.72,RU,1584485110
